Hotel Name,Hotel Link,Location,Price,Plan Name,Plan Link,Per Person Price,Total Price
ホテル丸忠ＣＥＮＴＲＯ,https://www.jalan.net//yad367772/,JR常磐線、東京メトロ日比谷線、つくばエクスプレス南千住駅下車徒歩３分,"4,500円～",アメニティ無プラン　シングルルーム,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=367772&planCd=03474891&roomTypeCd=0119938&adultNum=2&dateUndecided=1,"4,500円～","4,500円～"
ホテル丸忠ＣＥＮＴＲＯ,https://www.jalan.net//yad367772/,JR常磐線、東京メトロ日比谷線、つくばエクスプレス南千住駅下車徒歩３分,"4,500円～",アメニティ無プラン　女性フロア　シングルルーム,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=367772&planCd=03536494&roomTypeCd=0119940&adultNum=2&dateUndecided=1,"4,500円～","4,500円～"
ホテル丸忠ＣＥＮＴＲＯ,https://www.jalan.net//yad367772/,JR常磐線、東京メトロ日比谷線、つくばエクスプレス南千住駅下車徒歩３分,"4,500円～",アメニティ無プラン　シングルルーム,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=367772&planCd=03474891&roomTypeCd=0119939&adultNum=2&dateUndecided=1,"4,500円～","4,500円～"
大塚シティホテル,https://www.jalan.net//yad325497/,JR山手線大塚駅から徒歩３分　都電大塚駅前駅から徒歩２分　丸の内線新大塚から徒歩７分,"4,500円～",オンライン決済専用シングル【禁煙】,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=325497&planCd=03741442&roomTypeCd=0555258&adultNum=2&dateUndecided=1,"4,500円～","4,500円～"
大塚シティホテル,https://www.jalan.net//yad325497/,JR山手線大塚駅から徒歩３分　都電大塚駅前駅から徒歩２分　丸の内線新大塚から徒歩７分,"4,500円～",オンライン決済専用シングル【喫煙】,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=325497&planCd=03741423&roomTypeCd=0555252&adultNum=2&dateUndecided=1,"4,500円～","4,500円～"
大塚シティホテル,https://www.jalan.net//yad325497/,JR山手線大塚駅から徒歩３分　都電大塚駅前駅から徒歩２分　丸の内線新大塚から徒歩７分,"4,500円～",シングル【禁煙】,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=325497&planCd=02156441&roomTypeCd=0355296&adultNum=2&dateUndecided=1,"5,000円～","5,000円～"
ビジネスホテル　レガート,https://www.jalan.net//yad314627/,新宿線・菊川駅徒歩6分、大江戸線・森下駅徒歩8分、半蔵門線・清澄白河駅徒歩11分,"4,500円～",男性専用ドミトリールーム★都心に好アクセス！リーズナブルに東京滞在,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=314627&planCd=03813819&roomTypeCd=0561760&adultNum=2&dateUndecided=1,"4,500円～","4,500円～"
ビジネスホテル　レガート,https://www.jalan.net//yad314627/,新宿線・菊川駅徒歩6分、大江戸線・森下駅徒歩8分、半蔵門線・清澄白河駅徒歩11分,"4,500円～",【部屋数限定】3泊以上でお得にステイ！都心・人気スポットに好アクセス！東京観光のハブに！,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=314627&planCd=03683010&roomTypeCd=0090895&adultNum=2&dateUndecided=1,N/A,N/A
ビジネスホテル　レガート,https://www.jalan.net//yad314627/,新宿線・菊川駅徒歩6分、大江戸線・森下駅徒歩8分、半蔵門線・清澄白河駅徒歩11分,"4,500円～",シングル素泊★オリバー社製オーダーベッドで快眠,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=314627&planCd=00703500&roomTypeCd=0090895&adultNum=2&dateUndecided=1,"7,500円～","7,500円～"
フレックステイイン東十条,https://www.jalan.net//yad300980/,JR京浜東北線「東十条駅」南口より徒歩2分/埼京線「十条駅」より徒歩7分,"4,620円～",７泊以上でお得にステイ！「ウィークリーマンション」プラン♪,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=300980&planCd=02595571&roomTypeCd=0323728&adultNum=2&dateUndecided=1,N/A,N/A
フレックステイイン東十条,https://www.jalan.net//yad300980/,JR京浜東北線「東十条駅」南口より徒歩2分/埼京線「十条駅」より徒歩7分,"4,620円～",７泊以上でお得にステイ！「ウィークリーマンション」プラン♪,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=300980&planCd=02595571&roomTypeCd=0418023&adultNum=2&dateUndecided=1,N/A,N/A
フレックステイイン東十条,https://www.jalan.net//yad300980/,JR京浜東北線「東十条駅」南口より徒歩2分/埼京線「十条駅」より徒歩7分,"4,620円～",７泊以上でお得にステイ！「ウィークリーマンション」プラン♪,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=300980&planCd=02595571&roomTypeCd=0418021&adultNum=2&dateUndecided=1,N/A,N/A
東京ビジネスホテル,https://www.jalan.net//yad321582/,新宿駅より徒歩1５分、タクシー５分。新宿御苑前駅、新宿三丁目駅より徒歩７分。 バスタ新宿より徒歩１５分,"4,680円～",☆禁煙　テレビ・バス・トイレ無し　素泊り　シングルBN,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=321582&planCd=00543278&roomTypeCd=0241483&adultNum=2&dateUndecided=1,-円,"4,680円～"
東京ビジネスホテル,https://www.jalan.net//yad321582/,新宿駅より徒歩1５分、タクシー５分。新宿御苑前駅、新宿三丁目駅より徒歩７分。 バスタ新宿より徒歩１５分,"4,680円～",☆【ライダー歓迎！】禁煙　テレビ・バス・トイレ無し　素泊り　シングルＢＮ,https://www.jalan.net//uw/uwp3200/uww3201init.do?yadNo=321582&planCd=02832426&roomTypeCd=0241483&adultNum=2&dateUndecided=1,"4,680円～","4,680円～"
