Hotel Name,Hotel Address,Price Details,Plan Title,Plan Description,Plan Prices
フェアフィールド・バイ・マリオット・栃木もてぎ,栃木県 真岡・益子・茂木,"7,040円～（消費税込7,744円～）",【Marriott Bonvoy会員対象プラン・朝食ボックス付】＜小学生以下添い寝無料＞,"※Marriott Bonvoy会員価格はシルバー以上の楽天会員の方が楽天上で入会した場合予約可能です。日程によっては、会員価格が出てこない場合がございます。

朝食ボックス付きプランです。
フェアフィールド・バイ・マリ...","10,073円～16,673円/人（消費税込11,080円～18,340円/人）"
フェアフィールド・バイ・マリオット・栃木もてぎ,栃木県 真岡・益子・茂木,"7,040円～（消費税込7,744円～）",【Marriott Bonvoy会員対象プラン・連泊】＜小学生以下添い寝無料＞,"※Marriott Bonvoy会員価格はシルバー以上の楽天会員の方が楽天上で入会した場合予約可能です。日程によっては、会員価格が出てこない場合がございます。

連泊でお得にご宿泊いただけるプランです。

蒸気機関車の走...","7,040円～22,000円/人（消費税込7,744円～24,200円/人）"
フェアフィールド・バイ・マリオット・栃木もてぎ,栃木県 真岡・益子・茂木,"7,040円～（消費税込7,744円～）",【Marriott Bonvoy会員対象プラン・素泊まり】＜小学生以下添い寝無料＞,"※Marriott Bonvoy会員価格はシルバー以上の楽天会員の方が楽天上で入会した場合予約可能です。日程によっては、会員価格が出てこない場合がございます。

蒸気機関車の走る鉄道として有名な真岡鉄道。終着駅の茂木駅か...","8,800円～27,500円/人（消費税込9,680円～30,250円/人）"
ホテルルートイン真岡,栃木県 真岡・益子・茂木,"6,319円～（消費税込6,950円～）",【夏得】１１時までゆった～りのんびりステイプラン♪（朝食無料・大浴場完備・駐車場無料・Wifi完備）,"セミダブル限定のプラン♪♪

ちょっとゆっくりしたい朝や遅めのおでかけにピッタリ。
翌朝10時のチェックアウトが、11時までご滞在可能になります♪
ぜひ、週末セールのこのプランをご利用になり、ルートインの朝をのんびりお過...","6,319円～6,955円/人（消費税込6,950円～7,650円/人）"
ホテルルートイン真岡,栃木県 真岡・益子・茂木,"6,319円～（消費税込6,950円～）",≪ポイント10倍≫口コミ投稿でお得なプラン,"＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
室数限定!!!

チェックアウト後に、当ホテルの口コミ投稿するだけで、

★☆★☆ 楽天ポイント10倍!!! ☆★☆★

お得に、ご宿泊頂けるプランとなっております!!!...","7,819円～8,637円/人（消費税込8,600円～9,500円/人）"
ホテルルートイン真岡,栃木県 真岡・益子・茂木,"6,319円～（消費税込6,950円～）",お得な1泊2食パックプラン♪（駐車場無料・大浴場完備・Wifi完備）,"【※お知らせ※】
まん延防止措置を受け、夕食レストランの営業時間を短縮致します。

期間：8月2日(月)～8月31日(火)
営業時間：20時まで
酒類提供：19時まで

-----------------------

...","8,910円～9,546円/人（消費税込9,800円～10,500円/人）"
アパホテル〈相模原　古淵駅前〉,神奈川県 大和・相模原・町田西部,"5,139円～（消費税込5,652円～）",【ロングステイ】13時チェックイン～翌13時チェックアウト　最大24時間滞在可能,"プラン内容
チェックイン13:00～チェックアウト13:00までの
最大24時間ご滞在頂けるロングステイプランです。
ビジネス・観光・コンサートで早めにチェックインされたい方や
翌日のんびりチェックアウトされたい方にはお...","6,319円～7,410円/人（消費税込6,950円～8,150円/人）"
アパホテル〈相模原　古淵駅前〉,神奈川県 大和・相模原・町田西部,"5,139円～（消費税込5,652円～）",【素泊まり】古淵駅から徒歩3分！旅行やビジネスに便利【首都圏おすすめ】【アパは映画もアニメも見放題】,"相模原にご用の方はもちろん、横浜観光、旅行やビジネス出張に便利！！ ビジネスの拠点に最適な立地です！！

プラン内容
■シンプルな素泊まりステイプラン■
遅いチェックインでも安心！お得でシンプルな素泊りのプランです♪

...","5,410円～6,500円/人（消費税込5,950円～7,150円/人）"
アパホテル〈相模原　古淵駅前〉,神奈川県 大和・相模原・町田西部,"5,139円～（消費税込5,652円～）",【朝食付】古淵駅から徒歩3分！旅行やビジネスに便利！【首都圏おすすめ】【アパは映画もアニメも見放題】,"プラン内容
■朝食付きプラン■
ホテル1階朝食会場での朝食付のプランです！！
・時間／6:30～9:00（最終入場8:30）

アパホテルはアパルームシアター（VOD）視聴を完全無料化致しました。
【アパルームシアター】...","6,319円～7,410円/人（消費税込6,950円～8,150円/人）"
ホテルリブマックス相模原駅前,神奈川県 大和・相模原・町田西部,"3,478円～（消費税込3,825円～）",【素泊り】当館一番人気☆スタンダードプラン☆【全室シモンズベッド】,"★☆１番人気のスタンダードプラン☆★

◆全プラン共通案内◆
◆連泊の客室清掃について◆
□連泊中の清掃・タオル交換・アメニティの補充は希望制でございます。（無料）
※清掃希望のお客様は午前１１時までに清掃札を出して頂き...","4,091円～11,819円/人（消費税込4,500円～13,000円/人）"
ホテルリブマックス相模原駅前,神奈川県 大和・相模原・町田西部,"3,478円～（消費税込3,825円～）",【Dog×Stay】愛犬と一緒にご宿泊～ワンちゃん同伴宿泊プラン～【素泊り】,"本プランは、ペットと宿泊される方に向けたプランです。
■特典内容:【ペット用プレゼント】
ペットシート2枚※1日※

全国でも珍しいビジネスホテル×ペット宿泊を是非この機会にご利用ください！
※1泊限定※
～ホテルまでの...","8,637円～23,637円/人（消費税込9,500円～26,000円/人）"
ホテルリブマックス相模原駅前,神奈川県 大和・相模原・町田西部,"3,478円～（消費税込3,825円～）",【素泊り】『リブ得 』ホテルリブマックス最安値のスペシャルプラン☆【全室シモンズベッド】,"★☆『リブ得 』ホテルリブマックス
　　　　　　　　最安値のスペシャルプラン☆★

　　～リブマックスからの新提案～
　　リブ得でお得にお気軽に。
　　リブマックスの最安値のお得なプラン

◆全プラン共通案内◆
◆連泊の...","3,478円～10,046円/人（消費税込3,825円～11,050円/人）"
ホテルリブマックス南橋本駅前,神奈川県 大和・相模原・町田西部,"2,535円～（消費税込2,788円～）",【素泊り】『リブ得 』ホテルリブマックス最安値のスペシャルプラン☆JR相模線南橋本駅より徒歩1分！,"■ホテルリブマックス南橋本駅前■
★☆『リブ得 』ホテルリブマックス
　　　　　　　　最安値のスペシャルプラン☆★

　　～リブマックスからの新提案～
　　リブ得でお得にお気軽に。
　　リブマックスの最安値のお得なプラン...","3,285円～10,046円/人（消費税込3,613円～11,050円/人）"
ホテルリブマックス南橋本駅前,神奈川県 大和・相模原・町田西部,"2,535円～（消費税込2,788円～）",【素泊り】【スタンダードプラン】JR相模線南橋本駅より徒歩1分！,"■ホテルリブマックス南橋本駅前■
☆１番人気のスタンダードプラン☆
好評頂いている大人気プランです。
ビジネスから観光まで幅広い年代の方に愛されています。　


◆連泊の客室清掃について◆
□連泊中の清掃・タオル交換・ア...","3,864円～11,819円/人（消費税込4,250円～13,000円/人）"
アパホテル〈相模原　橋本駅前〉,神奈川県 大和・相模原・町田西部,"4,091円～（消費税込4,500円～）",【素泊まり・事前決済限定】非接触1秒チェックイン体験プラン！【アパは映画もアニメも見放題】,"このプランは、予約時に事前クレジットカード決済が必要です。
アパアプリによるチェックイン推奨プランです。


【プラン案内】
宿泊のみのシンプルな素泊まりプラン
徒歩圏にコンビニ、スーパーが御座いますので
急な買い物や食...","4,091円～8,637円/人（消費税込4,500円～9,500円/人）"
